# Longitude   Latitude
  165.7800   -21.0800
  166.6000   -21.7000
  167.1200   -22.1600
  166.7400   -22.4000
  166.1897   -22.1297
  165.4744   -21.6796
  164.8298   -21.1498
  164.1680   -20.4447
  164.0296   -20.1056
  164.4600   -20.1200
  165.0200   -20.4600
  165.4600   -20.8000
  165.7800   -21.0800
       nan        nan
  152.6400    -3.6600
  153.0200    -3.9800
  153.1400    -4.5000
  152.8273    -4.7664
  152.6387    -4.1761
  152.4060    -3.7897
  151.9532    -3.4621
  151.3843    -3.0354
  150.6620    -2.7415
  150.9400    -2.5000
  151.4800    -2.7800
  151.8200    -3.0000
  152.2400    -3.2400
  152.6400    -3.6600
       nan        nan
  151.3014    -5.8407
  150.7544    -6.0837
  150.2412    -6.3178
  149.7100    -6.3165
  148.8901    -6.0260
  148.3189    -5.7471
  148.4018    -5.4378
  149.2984    -5.5837
  149.8456    -5.5055
  149.9963    -5.0261
  150.1398    -5.0013
  150.2369    -5.5322
  150.8075    -5.4558
  151.0897    -5.1137
  151.6479    -4.7571
  151.5379    -4.1678
  152.1368    -4.1488
  152.3387    -4.3130
  152.3187    -4.8677
  151.9828    -5.4781
  151.4591    -5.5603
  151.3014    -5.8407
       nan        nan
  162.1190   -10.4827
  162.3986   -10.8264
  161.7000   -10.8200
  161.3198   -10.2048
  161.9174   -10.4466
  162.1190   -10.4827
       nan        nan
  161.6800    -9.6000
  161.5294    -9.7843
  160.7883    -8.9175
  160.5800    -8.3200
  160.9200    -8.3200
  161.2800    -9.1200
  161.6800    -9.6000
       nan        nan
  160.8522    -9.8729
  160.4626    -9.8952
  159.8494    -9.7940
  159.6400    -9.6400
  159.7029    -9.2429
  160.3630    -9.4003
  160.6885    -9.6102
  160.8522    -9.8729
       nan        nan
  159.6400    -8.0200
  159.8750    -8.3373
  159.9174    -8.5383
  159.1337    -8.1142
  158.5861    -7.7548
  158.2111    -7.4219
  158.3600    -7.3200
  158.8200    -7.5600
  159.6400    -8.0200
       nan        nan
  157.1400    -7.0216
  157.5384    -7.3478
  157.3394    -7.4048
  156.9020    -7.1769
  156.4914    -6.7659
  156.5428    -6.5993
  157.1400    -7.0216
       nan        nan
  154.7600    -5.3400
  155.0629    -5.5668
  155.5477    -6.2007
  156.0200    -6.5400
  155.8800    -6.8200
  155.6000    -6.9200
  155.1670    -6.5359
  154.7292    -5.9008
  154.5141    -5.1391
  154.6525    -5.0424
  154.7600    -5.3400
       nan        nan
  176.8858   -40.0660
  176.5080   -40.6048
  176.0124   -41.2896
  175.2396   -41.6883
  175.0679   -41.4259
  174.6510   -41.2818
  175.2276   -40.4592
  174.9002   -39.9089
  173.8240   -39.5089
  173.8523   -39.1466
  174.5748   -38.7977
  174.7435   -38.0278
  174.6970   -37.3811
  174.2920   -36.7111
  174.3190   -36.5348
  173.8410   -36.1220
  173.0542   -35.2371
  172.6360   -34.5291
  173.0070   -34.4507
  173.5513   -35.0062
  174.3294   -35.2655
  174.6120   -36.1563
  175.3366   -37.2091
  175.3576   -36.5262
  175.8089   -36.7989
  175.9585   -37.5554
  176.7632   -37.8813
  177.4388   -37.9612
  178.0104   -37.5798
  178.5171   -37.6954
  178.2747   -38.5828
  177.9705   -39.1663
  177.2070   -39.1458
  176.9400   -39.4497
  177.0329   -39.8799
  176.8858   -40.0660
       nan        nan
  169.6678   -43.5553
  170.5249   -43.0317
  171.1251   -42.5128
  171.5697   -41.7674
  171.9487   -41.5144
  172.0972   -40.9561
  172.7986   -40.4940
  173.0204   -40.9191
  173.2472   -41.3320
  173.9584   -40.9267
  174.2476   -41.3492
  174.2485   -41.7700
  173.8764   -42.2332
  173.2227   -42.9700
  172.7112   -43.3723
  173.0801   -43.8533
  172.3086   -43.8657
  171.4529   -44.2425
  171.1851   -44.8971
  170.6167   -45.9089
  169.8314   -46.3558
  169.3323   -46.6412
  168.4114   -46.6199
  167.7637   -46.2902
  166.6769   -46.2199
  166.5091   -45.8527
  167.0464   -45.1109
  168.3038   -44.1240
  168.9494   -43.9358
  169.6678   -43.5553
       nan        nan
  147.6893   -40.8083
  148.2891   -40.8754
  148.3599   -42.0624
  148.0173   -42.4070
  147.9141   -43.2115
  147.5646   -42.9377
  146.8703   -43.6346
  146.6633   -43.5809
  146.0484   -43.5497
  145.4319   -42.6938
  145.2951   -42.0336
  144.7181   -41.1626
  144.7438   -40.7040
  145.3980   -40.7925
  146.3641   -41.1376
  146.9086   -41.0005
  147.6893   -40.8083
       nan        nan
  126.1487   -32.2160
  125.0886   -32.7288
  124.2216   -32.9595
  124.0289   -33.4838
  123.6597   -33.8902
  122.8110   -33.9145
  122.1831   -34.0034
  121.2992   -33.8210
  120.5803   -33.9302
  119.8937   -33.9761
  119.2989   -34.5094
  119.0073   -34.4641
  118.5057   -34.7468
  118.0250   -35.0647
  117.2955   -35.0255
  116.6251   -35.0251
  115.5643   -34.3864
  115.0268   -34.1965
  115.0486   -33.6234
  115.5451   -33.4873
  115.7147   -33.2596
  115.6794   -32.9004
  115.8016   -32.2051
  115.6896   -31.6124
  115.1609   -30.6016
  114.9970   -30.0307
  115.0400   -29.4610
  114.6420   -28.8102
  114.6165   -28.5164
  114.1736   -28.1181
  114.0489   -27.3347
  113.4775   -26.5431
  113.3390   -26.1165
  113.7784   -26.5490
  113.4410   -25.6213
  113.9369   -25.9112
  114.2329   -26.2984
  114.2162   -25.7863
  113.7213   -24.9989
  113.6253   -24.6840
  113.3935   -24.3847
  113.5020   -23.8064
  113.7070   -23.5602
  113.8434   -23.0600
  113.7366   -22.4755
  114.1498   -21.7558
  114.2253   -22.5175
  114.6478   -21.8295
  115.4602   -21.4952
  115.9474   -21.0687
  116.7116   -20.7017
  117.1663   -20.6235
  117.4415   -20.7469
  118.2296   -20.3742
  118.8361   -20.2633
  118.9878   -20.0442
  119.2525   -19.9529
  119.8052   -19.9765
  120.8562   -19.6837
  121.3999   -19.2398
  121.6551   -18.7053
  122.2417   -18.1976
  122.2866   -17.7986
  122.3128   -17.2549
  123.0126   -16.4052
  123.4338   -17.2686
  123.8593   -17.0690
  123.5032   -16.5965
  123.8171   -16.1113
  124.2583   -16.3279
  124.3797   -15.5671
  124.9262   -15.0751
  125.1673   -14.6804
  125.6701   -14.5101
  125.6858   -14.2307
  126.1251   -14.3473
  126.1428   -14.0960
  126.5826   -13.9528
  127.0659   -13.8180
  127.8046   -14.2769
  128.3597   -14.8692
  128.9855   -14.8760
  129.6215   -14.9698
  129.4096   -14.4207
  129.8886   -13.6187
  130.3395   -13.3574
  130.1835   -13.1075
  130.6178   -12.5364
  131.2235   -12.1836
  131.7351   -12.3025
  132.5753   -12.1140
  132.5572   -11.6030
  131.8247   -11.2738
  132.3572   -11.1285
  133.0196   -11.3764
  133.5508   -11.7865
  134.3931   -12.0424
  134.6786   -11.9412
  135.2985   -12.2486
  135.8827   -11.9623
  136.2584   -12.0493
  136.4925   -11.8572
  136.9516   -12.3520
  136.6851   -12.8872
  136.3054   -13.2912
  135.9618   -13.3245
  136.0776   -13.7243
  135.7838   -14.2240
  135.4287   -14.7154
  135.5002   -14.9977
  136.2952   -15.5503
  137.0654   -15.8708
  137.5805   -16.2151
  138.3032   -16.8076
  138.5852   -16.8066
  139.1085   -17.0627
  139.2606   -17.3716
  140.2151   -17.7108
  140.8754   -17.3691
  141.0711   -16.8320
  141.2741   -16.3889
  141.3982   -15.8405
  141.7022   -15.0449
  141.5634   -14.5613
  141.6355   -14.2704
  141.5199   -13.6981
  141.6509   -12.9447
  141.8427   -12.7415
  141.6870   -12.4076
  141.9286   -11.8775
  142.1185   -11.3280
  142.1437   -11.0427
  142.5153   -10.6682
  142.7973   -11.1574
  142.8668   -11.7847
  143.1159   -11.9056
  143.1586   -12.3257
  143.5221   -12.8344
  143.5972   -13.4004
  143.5618   -13.7637
  143.9221   -14.5483
  144.5637   -14.1712
  144.8949   -14.5945
  145.3747   -14.9850
  145.2720   -15.4282
  145.4853   -16.2857
  145.6370   -16.7849
  145.8889   -16.9069
  146.1603   -17.7617
  146.0637   -18.2801
  146.3875   -18.9583
  147.4711   -19.4807
  148.1776   -19.9559
  148.8484   -20.3912
  148.7175   -20.6335
  149.2894   -21.2605
  149.6783   -22.3425
  150.0774   -22.1228
  150.4829   -22.5561
  150.7273   -22.4024
  150.8996   -23.4622
  151.6092   -24.0763
  152.0735   -24.4578
  152.8552   -25.2675
  153.1362   -26.0712
  153.1619   -26.6413
  153.0929   -27.2603
  153.5695   -28.1101
  153.5121   -28.9951
  153.3391   -29.4582
  153.0692   -30.3502
  153.0896   -30.9236
  152.8916   -31.6404
  152.4500   -32.5500
  151.7091   -33.0413
  151.3440   -33.8160
  151.0106   -34.3104
  150.7141   -35.1735
  150.3282   -35.6719
  150.0752   -36.4202
  149.9461   -37.1091
  149.9973   -37.4253
  149.4239   -37.7727
  148.3046   -37.8091
  147.3817   -38.2192
  146.9221   -38.6065
  146.3179   -39.0358
  145.4897   -38.5938
  144.8770   -38.4174
  145.0322   -37.8962
  144.4857   -38.0853
  143.6100   -38.8095
  142.7454   -38.5383
  142.1783   -38.3800
  141.6066   -38.3085
  140.6386   -38.0193
  139.9922   -37.4029
  139.8066   -36.6436
  139.5741   -36.1384
  139.0828   -35.7328
  138.1207   -35.6123
  138.4495   -35.1273
  138.2076   -34.3847
  137.7192   -35.0768
  136.8294   -35.2605
  137.3524   -34.7073
  137.5039   -34.1303
  137.8901   -33.6405
  137.8103   -32.9000
  136.9968   -33.7528
  136.3720   -34.0948
  135.9890   -34.8901
  135.2082   -34.4787
  135.2392   -33.9480
  134.6134   -33.2228
  134.0859   -32.8481
  134.2739   -32.6172
  132.9908   -32.0112
  132.2881   -31.9826
  131.3263   -31.4958
  129.5358   -31.5904
